PA,SZ,AG,Sex,TOD,Pop,Time
Sengkang,Anchorvale,55_to_59,Males,HDB 1- and 2-Room Flats,90,2022
Sengkang,Anchorvale,55_to_59,Males,HDB 3-Room Flats,50,2022
Sengkang,Anchorvale,55_to_59,Males,HDB 4-Room Flats,400,2022
Sengkang,Anchorvale,55_to_59,Males,HDB 5-Room and Executive Flats,640,2022
Sengkang,Anchorvale,55_to_59,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,55_to_59,Males,Condominiums and Other Apartments,80,2022
Sengkang,Anchorvale,55_to_59,Males,Landed Properties,0,2022
Sengkang,Anchorvale,55_to_59,Males,Others,0,2022
Sengkang,Anchorvale,55_to_59,Females,HDB 1- and 2-Room Flats,80,2022
Sengkang,Anchorvale,55_to_59,Females,HDB 3-Room Flats,40,2022
Sengkang,Anchorvale,55_to_59,Females,HDB 4-Room Flats,420,2022
Sengkang,Anchorvale,55_to_59,Females,HDB 5-Room and Executive Flats,550,2022
Sengkang,Anchorvale,55_to_59,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,55_to_59,Females,Condominiums and Other Apartments,70,2022
Sengkang,Anchorvale,55_to_59,Females,Landed Properties,0,2022
Sengkang,Anchorvale,55_to_59,Females,Others,0,2022
Sengkang,Anchorvale,60_to_64,Males,HDB 1- and 2-Room Flats,130,2022
Sengkang,Anchorvale,60_to_64,Males,HDB 3-Room Flats,40,2022
Sengkang,Anchorvale,60_to_64,Males,HDB 4-Room Flats,430,2022
Sengkang,Anchorvale,60_to_64,Males,HDB 5-Room and Executive Flats,520,2022
Sengkang,Anchorvale,60_to_64,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,60_to_64,Males,Condominiums and Other Apartments,60,2022
Sengkang,Anchorvale,60_to_64,Males,Landed Properties,0,2022
Sengkang,Anchorvale,60_to_64,Males,Others,0,2022
Sengkang,Anchorvale,60_to_64,Females,HDB 1- and 2-Room Flats,130,2022
Sengkang,Anchorvale,60_to_64,Females,HDB 3-Room Flats,50,2022
Sengkang,Anchorvale,60_to_64,Females,HDB 4-Room Flats,480,2022
Sengkang,Anchorvale,60_to_64,Females,HDB 5-Room and Executive Flats,540,2022
Sengkang,Anchorvale,60_to_64,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,60_to_64,Females,Condominiums and Other Apartments,40,2022
Sengkang,Anchorvale,60_to_64,Females,Landed Properties,0,2022
Sengkang,Anchorvale,60_to_64,Females,Others,0,2022
Sengkang,Anchorvale,65_to_69,Males,HDB 1- and 2-Room Flats,130,2022
Sengkang,Anchorvale,65_to_69,Males,HDB 3-Room Flats,40,2022
Sengkang,Anchorvale,65_to_69,Males,HDB 4-Room Flats,360,2022
Sengkang,Anchorvale,65_to_69,Males,HDB 5-Room and Executive Flats,400,2022
Sengkang,Anchorvale,65_to_69,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,65_to_69,Males,Condominiums and Other Apartments,30,2022
Sengkang,Anchorvale,65_to_69,Males,Landed Properties,0,2022
Sengkang,Anchorvale,65_to_69,Males,Others,0,2022
Sengkang,Anchorvale,65_to_69,Females,HDB 1- and 2-Room Flats,140,2022
Sengkang,Anchorvale,65_to_69,Females,HDB 3-Room Flats,50,2022
Sengkang,Anchorvale,65_to_69,Females,HDB 4-Room Flats,360,2022
Sengkang,Anchorvale,65_to_69,Females,HDB 5-Room and Executive Flats,430,2022
Sengkang,Anchorvale,65_to_69,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,65_to_69,Females,Condominiums and Other Apartments,40,2022
Sengkang,Anchorvale,65_to_69,Females,Landed Properties,0,2022
Sengkang,Anchorvale,65_to_69,Females,Others,0,2022
Sengkang,Anchorvale,70_to_74,Males,HDB 1- and 2-Room Flats,100,2022
Sengkang,Anchorvale,70_to_74,Males,HDB 3-Room Flats,20,2022
Sengkang,Anchorvale,70_to_74,Males,HDB 4-Room Flats,230,2022
Sengkang,Anchorvale,70_to_74,Males,HDB 5-Room and Executive Flats,290,2022
Sengkang,Anchorvale,70_to_74,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,70_to_74,Males,Condominiums and Other Apartments,20,2022
Sengkang,Anchorvale,70_to_74,Males,Landed Properties,0,2022
Sengkang,Anchorvale,70_to_74,Males,Others,0,2022
Sengkang,Anchorvale,70_to_74,Females,HDB 1- and 2-Room Flats,130,2022
Sengkang,Anchorvale,70_to_74,Females,HDB 3-Room Flats,30,2022
Sengkang,Anchorvale,70_to_74,Females,HDB 4-Room Flats,240,2022
Sengkang,Anchorvale,70_to_74,Females,HDB 5-Room and Executive Flats,310,2022
Sengkang,Anchorvale,70_to_74,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,70_to_74,Females,Condominiums and Other Apartments,40,2022
Sengkang,Anchorvale,70_to_74,Females,Landed Properties,0,2022
Sengkang,Anchorvale,70_to_74,Females,Others,0,2022
Sengkang,Anchorvale,75_to_79,Males,HDB 1- and 2-Room Flats,60,2022
Sengkang,Anchorvale,75_to_79,Males,HDB 3-Room Flats,10,2022
Sengkang,Anchorvale,75_to_79,Males,HDB 4-Room Flats,90,2022
Sengkang,Anchorvale,75_to_79,Males,HDB 5-Room and Executive Flats,140,2022
Sengkang,Anchorvale,75_to_79,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,75_to_79,Males,Condominiums and Other Apartments,10,2022
Sengkang,Anchorvale,75_to_79,Males,Landed Properties,0,2022
Sengkang,Anchorvale,75_to_79,Males,Others,0,2022
Sengkang,Anchorvale,75_to_79,Females,HDB 1- and 2-Room Flats,80,2022
Sengkang,Anchorvale,75_to_79,Females,HDB 3-Room Flats,10,2022
Sengkang,Anchorvale,75_to_79,Females,HDB 4-Room Flats,110,2022
Sengkang,Anchorvale,75_to_79,Females,HDB 5-Room and Executive Flats,180,2022
Sengkang,Anchorvale,75_to_79,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,75_to_79,Females,Condominiums and Other Apartments,20,2022
Sengkang,Anchorvale,75_to_79,Females,Landed Properties,0,2022
Sengkang,Anchorvale,75_to_79,Females,Others,0,2022
Sengkang,Anchorvale,80_to_84,Males,HDB 1- and 2-Room Flats,30,2022
Sengkang,Anchorvale,80_to_84,Males,HDB 3-Room Flats,10,2022
Sengkang,Anchorvale,80_to_84,Males,HDB 4-Room Flats,50,2022
Sengkang,Anchorvale,80_to_84,Males,HDB 5-Room and Executive Flats,80,2022
Sengkang,Anchorvale,80_to_84,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,80_to_84,Males,Condominiums and Other Apartments,10,2022
Sengkang,Anchorvale,80_to_84,Males,Landed Properties,0,2022
Sengkang,Anchorvale,80_to_84,Males,Others,0,2022
Sengkang,Anchorvale,80_to_84,Females,HDB 1- and 2-Room Flats,40,2022
Sengkang,Anchorvale,80_to_84,Females,HDB 3-Room Flats,10,2022
Sengkang,Anchorvale,80_to_84,Females,HDB 4-Room Flats,70,2022
Sengkang,Anchorvale,80_to_84,Females,HDB 5-Room and Executive Flats,130,2022
Sengkang,Anchorvale,80_to_84,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,80_to_84,Females,Condominiums and Other Apartments,10,2022
Sengkang,Anchorvale,80_to_84,Females,Landed Properties,0,2022
Sengkang,Anchorvale,80_to_84,Females,Others,0,2022
Sengkang,Anchorvale,85_to_89,Males,HDB 1- and 2-Room Flats,10,2022
Sengkang,Anchorvale,85_to_89,Males,HDB 3-Room Flats,0,2022
Sengkang,Anchorvale,85_to_89,Males,HDB 4-Room Flats,20,2022
Sengkang,Anchorvale,85_to_89,Males,HDB 5-Room and Executive Flats,20,2022
Sengkang,Anchorvale,85_to_89,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,85_to_89,Males,Condominiums and Other Apartments,0,2022
Sengkang,Anchorvale,85_to_89,Males,Landed Properties,0,2022
Sengkang,Anchorvale,85_to_89,Males,Others,0,2022
Sengkang,Anchorvale,85_to_89,Females,HDB 1- and 2-Room Flats,10,2022
Sengkang,Anchorvale,85_to_89,Females,HDB 3-Room Flats,10,2022
Sengkang,Anchorvale,85_to_89,Females,HDB 4-Room Flats,40,2022
Sengkang,Anchorvale,85_to_89,Females,HDB 5-Room and Executive Flats,50,2022
Sengkang,Anchorvale,85_to_89,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,85_to_89,Females,Condominiums and Other Apartments,0,2022
Sengkang,Anchorvale,85_to_89,Females,Landed Properties,0,2022
Sengkang,Anchorvale,85_to_89,Females,Others,0,2022
Sengkang,Anchorvale,90_and_over,Males,HDB 1- and 2-Room Flats,10,2022
Sengkang,Anchorvale,90_and_over,Males,HDB 3-Room Flats,0,2022
Sengkang,Anchorvale,90_and_over,Males,HDB 4-Room Flats,10,2022
Sengkang,Anchorvale,90_and_over,Males,HDB 5-Room and Executive Flats,10,2022
Sengkang,Anchorvale,90_and_over,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,90_and_over,Males,Condominiums and Other Apartments,0,2022
Sengkang,Anchorvale,90_and_over,Males,Landed Properties,0,2022
Sengkang,Anchorvale,90_and_over,Males,Others,0,2022
Sengkang,Anchorvale,90_and_over,Females,HDB 1- and 2-Room Flats,10,2022
Sengkang,Anchorvale,90_and_over,Females,HDB 3-Room Flats,0,2022
Sengkang,Anchorvale,90_and_over,Females,HDB 4-Room Flats,20,2022
Sengkang,Anchorvale,90_and_over,Females,HDB 5-Room and Executive Flats,30,2022
Sengkang,Anchorvale,90_and_over,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Anchorvale,90_and_over,Females,Condominiums and Other Apartments,0,2022
Sengkang,Anchorvale,90_and_over,Females,Landed Properties,0,2022
Sengkang,Anchorvale,90_and_over,Females,Others,0,2022
Sengkang,Compassvale,0_to_4,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,0_to_4,Males,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,0_to_4,Males,HDB 4-Room Flats,400,2022
Sengkang,Compassvale,0_to_4,Males,HDB 5-Room and Executive Flats,120,2022
Sengkang,Compassvale,0_to_4,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,0_to_4,Males,Condominiums and Other Apartments,150,2022
Sengkang,Compassvale,0_to_4,Males,Landed Properties,0,2022
Sengkang,Compassvale,0_to_4,Males,Others,0,2022
Sengkang,Compassvale,0_to_4,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,0_to_4,Females,HDB 3-Room Flats,0,2022
Sengkang,Compassvale,0_to_4,Females,HDB 4-Room Flats,360,2022
Sengkang,Compassvale,0_to_4,Females,HDB 5-Room and Executive Flats,110,2022
Sengkang,Compassvale,0_to_4,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,0_to_4,Females,Condominiums and Other Apartments,150,2022
Sengkang,Compassvale,0_to_4,Females,Landed Properties,0,2022
Sengkang,Compassvale,0_to_4,Females,Others,0,2022
Sengkang,Compassvale,5_to_9,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,5_to_9,Males,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,5_to_9,Males,HDB 4-Room Flats,460,2022
Sengkang,Compassvale,5_to_9,Males,HDB 5-Room and Executive Flats,150,2022
Sengkang,Compassvale,5_to_9,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,5_to_9,Males,Condominiums and Other Apartments,250,2022
Sengkang,Compassvale,5_to_9,Males,Landed Properties,0,2022
Sengkang,Compassvale,5_to_9,Males,Others,0,2022
Sengkang,Compassvale,5_to_9,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,5_to_9,Females,HDB 3-Room Flats,20,2022
Sengkang,Compassvale,5_to_9,Females,HDB 4-Room Flats,440,2022
Sengkang,Compassvale,5_to_9,Females,HDB 5-Room and Executive Flats,140,2022
Sengkang,Compassvale,5_to_9,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,5_to_9,Females,Condominiums and Other Apartments,230,2022
Sengkang,Compassvale,5_to_9,Females,Landed Properties,0,2022
Sengkang,Compassvale,5_to_9,Females,Others,0,2022
Sengkang,Compassvale,10_to_14,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,10_to_14,Males,HDB 3-Room Flats,20,2022
Sengkang,Compassvale,10_to_14,Males,HDB 4-Room Flats,480,2022
Sengkang,Compassvale,10_to_14,Males,HDB 5-Room and Executive Flats,110,2022
Sengkang,Compassvale,10_to_14,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,10_to_14,Males,Condominiums and Other Apartments,190,2022
Sengkang,Compassvale,10_to_14,Males,Landed Properties,0,2022
Sengkang,Compassvale,10_to_14,Males,Others,0,2022
Sengkang,Compassvale,10_to_14,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,10_to_14,Females,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,10_to_14,Females,HDB 4-Room Flats,420,2022
Sengkang,Compassvale,10_to_14,Females,HDB 5-Room and Executive Flats,100,2022
Sengkang,Compassvale,10_to_14,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,10_to_14,Females,Condominiums and Other Apartments,180,2022
Sengkang,Compassvale,10_to_14,Females,Landed Properties,0,2022
Sengkang,Compassvale,10_to_14,Females,Others,0,2022
Sengkang,Compassvale,15_to_19,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,15_to_19,Males,HDB 3-Room Flats,0,2022
Sengkang,Compassvale,15_to_19,Males,HDB 4-Room Flats,340,2022
Sengkang,Compassvale,15_to_19,Males,HDB 5-Room and Executive Flats,60,2022
Sengkang,Compassvale,15_to_19,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,15_to_19,Males,Condominiums and Other Apartments,160,2022
Sengkang,Compassvale,15_to_19,Males,Landed Properties,0,2022
Sengkang,Compassvale,15_to_19,Males,Others,0,2022
Sengkang,Compassvale,15_to_19,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,15_to_19,Females,HDB 3-Room Flats,0,2022
Sengkang,Compassvale,15_to_19,Females,HDB 4-Room Flats,300,2022
Sengkang,Compassvale,15_to_19,Females,HDB 5-Room and Executive Flats,70,2022
Sengkang,Compassvale,15_to_19,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,15_to_19,Females,Condominiums and Other Apartments,140,2022
Sengkang,Compassvale,15_to_19,Females,Landed Properties,0,2022
Sengkang,Compassvale,15_to_19,Females,Others,0,2022
Sengkang,Compassvale,20_to_24,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,20_to_24,Males,HDB 3-Room Flats,0,2022
Sengkang,Compassvale,20_to_24,Males,HDB 4-Room Flats,180,2022
Sengkang,Compassvale,20_to_24,Males,HDB 5-Room and Executive Flats,50,2022
Sengkang,Compassvale,20_to_24,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,20_to_24,Males,Condominiums and Other Apartments,100,2022
Sengkang,Compassvale,20_to_24,Males,Landed Properties,0,2022
Sengkang,Compassvale,20_to_24,Males,Others,0,2022
Sengkang,Compassvale,20_to_24,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,20_to_24,Females,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,20_to_24,Females,HDB 4-Room Flats,220,2022
Sengkang,Compassvale,20_to_24,Females,HDB 5-Room and Executive Flats,50,2022
Sengkang,Compassvale,20_to_24,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,20_to_24,Females,Condominiums and Other Apartments,100,2022
Sengkang,Compassvale,20_to_24,Females,Landed Properties,0,2022
Sengkang,Compassvale,20_to_24,Females,Others,0,2022
Sengkang,Compassvale,25_to_29,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,25_to_29,Males,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,25_to_29,Males,HDB 4-Room Flats,260,2022
Sengkang,Compassvale,25_to_29,Males,HDB 5-Room and Executive Flats,40,2022
Sengkang,Compassvale,25_to_29,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,25_to_29,Males,Condominiums and Other Apartments,110,2022
Sengkang,Compassvale,25_to_29,Males,Landed Properties,0,2022
Sengkang,Compassvale,25_to_29,Males,Others,10,2022
Sengkang,Compassvale,25_to_29,Females,HDB 1- and 2-Room Flats,10,2022
Sengkang,Compassvale,25_to_29,Females,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,25_to_29,Females,HDB 4-Room Flats,370,2022
Sengkang,Compassvale,25_to_29,Females,HDB 5-Room and Executive Flats,70,2022
Sengkang,Compassvale,25_to_29,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,25_to_29,Females,Condominiums and Other Apartments,110,2022
Sengkang,Compassvale,25_to_29,Females,Landed Properties,0,2022
Sengkang,Compassvale,25_to_29,Females,Others,0,2022
Sengkang,Compassvale,30_to_34,Males,HDB 1- and 2-Room Flats,10,2022
Sengkang,Compassvale,30_to_34,Males,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,30_to_34,Males,HDB 4-Room Flats,540,2022
Sengkang,Compassvale,30_to_34,Males,HDB 5-Room and Executive Flats,80,2022
Sengkang,Compassvale,30_to_34,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,30_to_34,Males,Condominiums and Other Apartments,140,2022
Sengkang,Compassvale,30_to_34,Males,Landed Properties,0,2022
Sengkang,Compassvale,30_to_34,Males,Others,0,2022
Sengkang,Compassvale,30_to_34,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,30_to_34,Females,HDB 3-Room Flats,20,2022
Sengkang,Compassvale,30_to_34,Females,HDB 4-Room Flats,610,2022
Sengkang,Compassvale,30_to_34,Females,HDB 5-Room and Executive Flats,120,2022
Sengkang,Compassvale,30_to_34,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,30_to_34,Females,Condominiums and Other Apartments,190,2022
Sengkang,Compassvale,30_to_34,Females,Landed Properties,0,2022
Sengkang,Compassvale,30_to_34,Females,Others,0,2022
Sengkang,Compassvale,35_to_39,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,35_to_39,Males,HDB 3-Room Flats,30,2022
Sengkang,Compassvale,35_to_39,Males,HDB 4-Room Flats,600,2022
Sengkang,Compassvale,35_to_39,Males,HDB 5-Room and Executive Flats,170,2022
Sengkang,Compassvale,35_to_39,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,35_to_39,Males,Condominiums and Other Apartments,250,2022
Sengkang,Compassvale,35_to_39,Males,Landed Properties,0,2022
Sengkang,Compassvale,35_to_39,Males,Others,10,2022
Sengkang,Compassvale,35_to_39,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,35_to_39,Females,HDB 3-Room Flats,40,2022
Sengkang,Compassvale,35_to_39,Females,HDB 4-Room Flats,690,2022
Sengkang,Compassvale,35_to_39,Females,HDB 5-Room and Executive Flats,200,2022
Sengkang,Compassvale,35_to_39,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,35_to_39,Females,Condominiums and Other Apartments,310,2022
Sengkang,Compassvale,35_to_39,Females,Landed Properties,0,2022
Sengkang,Compassvale,35_to_39,Females,Others,0,2022
Sengkang,Compassvale,40_to_44,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,40_to_44,Males,HDB 3-Room Flats,20,2022
Sengkang,Compassvale,40_to_44,Males,HDB 4-Room Flats,720,2022
Sengkang,Compassvale,40_to_44,Males,HDB 5-Room and Executive Flats,140,2022
Sengkang,Compassvale,40_to_44,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,40_to_44,Males,Condominiums and Other Apartments,290,2022
Sengkang,Compassvale,40_to_44,Males,Landed Properties,0,2022
Sengkang,Compassvale,40_to_44,Males,Others,0,2022
Sengkang,Compassvale,40_to_44,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,40_to_44,Females,HDB 3-Room Flats,30,2022
Sengkang,Compassvale,40_to_44,Females,HDB 4-Room Flats,850,2022
Sengkang,Compassvale,40_to_44,Females,HDB 5-Room and Executive Flats,140,2022
Sengkang,Compassvale,40_to_44,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,40_to_44,Females,Condominiums and Other Apartments,340,2022
Sengkang,Compassvale,40_to_44,Females,Landed Properties,0,2022
Sengkang,Compassvale,40_to_44,Females,Others,0,2022
Sengkang,Compassvale,45_to_49,Males,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,45_to_49,Males,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,45_to_49,Males,HDB 4-Room Flats,660,2022
Sengkang,Compassvale,45_to_49,Males,HDB 5-Room and Executive Flats,120,2022
Sengkang,Compassvale,45_to_49,Males,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,45_to_49,Males,Condominiums and Other Apartments,270,2022
Sengkang,Compassvale,45_to_49,Males,Landed Properties,0,2022
Sengkang,Compassvale,45_to_49,Males,Others,0,2022
Sengkang,Compassvale,45_to_49,Females,HDB 1- and 2-Room Flats,0,2022
Sengkang,Compassvale,45_to_49,Females,HDB 3-Room Flats,10,2022
Sengkang,Compassvale,45_to_49,Females,HDB 4-Room Flats,610,2022
Sengkang,Compassvale,45_to_49,Females,HDB 5-Room and Executive Flats,100,2022
Sengkang,Compassvale,45_to_49,Females,HUDC Flats (excluding those privatised),0,2022
Sengkang,Compassvale,45_to_49,Females,Condominiums and Other Apartments,260,2022
Sengkang,Compassvale,45_to_49,Females,Landed Properties,0,2022
Sengkang,Compassvale,45_to_49,Females,Others,0,2022
Sengkang,Compassvale,50_to_54,Males,HDB 1- and 2-Room Flats,0,2022
